source,case,family,trial_id,mIoU,depth_nan_ratio,denoise_retained_ratio,sam_fill_rate,sam_ontology_divergence,det_row_residual_px,det_row_gated,det_row_y_std,phase_incoherence_deg,det_real_detection_ratio
bo-elegant-trials,3-1,continuous,3-1-t034,0.213,0.15697367549495717,0.6940221399917216,0.6272069189808259,0.1913862955786507,5.5747599494134965,1.0,0.0,0.9,0.0
bo-elegant-trials,3-1,continuous,3-1-t035,0.699,0.17394388596654536,0.7108480979960724,0.612808455148933,0.23670142080609974,5.118069116611268,1.0,5.270453326313416,1.1,0.0
bo-elegant-trials,3-1,continuous,3-1-t036,0.646,0.14964981835413046,0.6361481891827125,0.587436472788724,0.3042775139135756,4.912069334787507,1.0,5.210556729562376,1.0,0.0
bo-elegant-trials,3-1,continuous,3-1-t037,0.646,0.14964981835413046,0.6361481891827125,0.587436472788724,0.3042775139135756,4.912069334787507,1.0,5.210556729562376,1.0,0.0
bo-elegant-trials,3-1,continuous,3-1-t039,0.733,0.15654238962152098,0.69353664115723,0.6373090293446699,0.2529346606146286,0.0,0.0,19.99340079828721,0.9,0.7
bo-elegant-trials,3-1,continuous,3-1-t040,0.064,0.18416796137964614,0.7415885770838325,0.19069367202063991,0.2559752584722596,5.786857797873431,1.0,28.987096036585342,2.4,0.0
bo-elegant-trials,3-1,continuous,3-1-t041,0.716,0.17281909689594233,0.7526103342783962,0.692659008648726,0.1855289889747317,6.702764630330418,1.0,0.0,1.5,0.0
bo-elegant-trials,5-1,complex,5-1-t000,0.808,0.20528068220449924,0.7633638444754262,0.7529205431415833,0.12519108935008927,0.0,0.0,580.3608667085526,22.7,0.7
bo-elegant-trials,5-1,complex,5-1-t001,0.801,0.2033352168130008,0.7494093010876012,0.7419638126990177,0.12440081917063892,0.0,0.0,580.2715681077607,22.3,0.7
bo-elegant-trials,5-1,complex,5-1-t002,0.036,0.9616617139856551,0.018432871315252113,0.016298947546958327,0.18399394612408654,0.0,0.0,0.0,7.0,0.0
bo-elegant-trials,5-1,complex,5-1-t003,0.741,0.20100949845210625,0.7626123477401712,0.7484958570613361,0.1320305752347775,0.0,0.0,611.6539577500504,19.0,0.6
bo-elegant-trials,5-1,complex,5-1-t004,0.786,0.2047735421838218,0.771081118223055,0.7578652997021089,0.12476688280784905,0.0,0.0,580.2914318444281,22.3,0.7
bo-elegant-trials,5-1,complex,5-1-t005,0.758,0.2003270723670208,0.7706259288341276,0.7574233930562928,0.1275995940339213,0.0,0.0,611.6140145677792,21.1,0.6
bo-elegant-trials,5-1,complex,5-1-t006,0.819,0.19921704391656478,0.7637143045436688,0.7514338976625948,0.12762356840753608,0.0,0.0,523.8967330964863,21.1,0.8
bo-elegant-trials,5-1,complex,5-1-t007,0.099,0.70139422393193,0.16572418792629304,0.16119834864850643,0.2882292965485268,0.0,0.0,310.2315778482053,28.9,0.2
bo-elegant-trials,5-1,complex,5-1-t008,0.766,0.1980759934480565,0.7701947505577474,0.7577610812561593,0.12431933323791944,0.0,0.0,580.6208856412798,22.7,0.7
bo-elegant-trials,5-1,complex,5-1-t009,0.744,0.20437305492821492,0.7674610598505078,0.7562744357771708,0.12732425415422433,0.0,0.0,602.0203496615101,21.7,0.7
bo-elegant-trials,5-1,complex,5-1-t010,0.554,0.22586484079931846,0.6849006374184069,0.6753763997329146,0.1275206397233629,0.0,0.0,491.49758648503854,20.2,0.5
bo-elegant-trials,5-1,complex,5-1-t011,0.145,0.5327536262324465,0.3623946129280939,0.3602228844294066,0.3294195231949625,0.0,0.0,0.0,9.3,0.0
bo-elegant-trials,5-1,complex,5-1-t012,0.608,0.19700964073354243,0.771284446367604,0.7581958356556847,0.12367002089078509,0.0,0.0,482.36457311392155,20.0,0.6
bo-elegant-trials,5-1,complex,5-1-t014,0.807,0.20195963522305238,0.7544827980813589,0.7437717983863511,0.12944649148138587,0.0,0.0,580.1692218462815,21.7,0.7
bo-elegant-trials,5-1,complex,5-1-t015,0.798,0.20330320348986042,0.771199130286851,0.7579056588061777,0.1258445143221136,0.0,0.0,580.1488974090312,22.2,0.7
bo-elegant-trials,5-1,complex,5-1-t016,0.037,0.9844903239645444,0.007594152936482433,0.0067394595047478145,0.2204907736290392,0.0,0.0,0.0,8.2,0.0
bo-elegant-trials,5-1,complex,5-1-t017,0.243,0.5759669432206115,0.2959885604929328,0.28994491237731984,0.33920774703724454,0.0,0.0,482.89000151852906,18.5,0.5
bo-elegant-trials,5-1,complex,5-1-t018,0.762,0.20042591131551432,0.769685408446905,0.7562596204098544,0.12922073667127282,0.0,0.0,611.6131637586257,21.0,0.6
bo-elegant-trials,5-1,complex,5-1-t019,0.783,0.19948842826245794,0.762727805430292,0.7487160440721417,0.12975378741909832,0.0,0.0,580.1934744176071,21.8,0.7
bo-elegant-trials,5-1,complex,5-1-t020,0.811,0.20779253267370726,0.7586735035329543,0.7488805457368269,0.12375480611194475,0.0,0.0,512.6081095469979,23.9,0.9
