depth_nan_ratio,denoise_retained_ratio,det_real_detection_ratio,sam_fill_rate,sam_ring_completeness,sam_ontology_divergence,mIoU,case,family
0.2027420081858475,0.7711674560532781,0.7,0.7548266167780459,1.0,0.1302136420673048,0.779,5-1,t4&5
0.2009010963251154,0.759583371436074,0.5,0.749525269652457,1.0,0.1236330678899593,0.613,5-1,t4&5
0.1988790671935744,0.7633091808787761,0.8,0.7528817166617197,1.0,0.1243821113598838,0.82,5-1,t4&5
0.5022562420636039,0.3929331719650337,0.0,0.3884584201607518,1.0,0.3157789921680034,0.147,5-1,t4&5
0.1985416152791602,0.7689717164420435,0.6,0.7571699991877092,1.0,0.1277234551051183,0.763,5-1,t4&5
0.9822475773164338,0.0073821399214376,0.0,0.0068145580907998,1.0,0.2066978676919452,0.037,5-1,t4&5
0.94234480681484,0.0248152293802016,0.0,0.02216736562845,1.0,0.1790957308460938,0.036,5-1,t4&5
0.2104275965341641,0.7551290546211941,0.7,0.7450959856995945,1.0,0.1290344477195638,0.779,5-1,t4&5
0.1962807399334426,0.770306632124723,0.5,0.7539836734652173,1.0,0.1312851633266467,0.597,5-1,t4&5
0.2022547525789968,0.7674738317188841,0.6,0.7549093784851236,1.0,0.1279162509570988,0.765,5-1,t4&5
0.98429581464724,0.0077520132296121,0.0,0.0068549171948685,1.0,0.2043949492153397,0.037,5-1,t4&5
0.2047547073871472,0.7710979770893116,0.7,0.7582147380208815,1.0,0.1248882236585636,0.787,5-1,t4&5
0.1973875612203782,0.7629045680886184,0.5,0.7525072454809298,1.0,0.1245496247349635,0.621,5-1,t4&5
0.2024070053781216,0.7482726048021203,0.7,0.7412041419680019,1.0,0.1244608713435672,0.808,5-1,t4&5
0.731253240846849,0.143857727516786,0.2,0.1383637806160843,1.0,0.2772331697663169,0.089,5-1,t4&5
0.2059830510154754,0.7630680480038337,0.6,0.7502895382560882,1.0,0.1304403820879982,0.759,5-1,t4&5
0.1989085730979625,0.7711214773271238,0.7,0.7569687145421005,1.0,0.1273568192447785,0.795,5-1,t4&5
0.2043334610367535,0.7628105671373696,0.6,0.749010307919529,1.0,0.1315134048937871,0.751,5-1,t4&5
0.2095182198959596,0.7634036927047598,0.8,0.750544975623612,1.0,0.128209573764345,0.813,5-1,t4&5
0.9854504146123108,0.007138963547555,0.0,0.00633382496512,1.0,0.2247482312815431,0.037,5-1,t4&5
0.2096712890639805,0.7638088163696526,0.6,0.7532342202289025,1.0,0.1224384876105134,0.65,5-1,t4&5
0.2052591067408163,0.7628008605174037,0.7,0.7488294582633223,1.0,0.1295700102129993,0.784,5-1,t4&5
0.5371799141228638,0.355987222001127,0.0,0.3552628016268295,1.0,0.3261283777273832,0.141,5-1,t4&5
